Date,Sales
2023-01-01,18366
2023-02-01,18516
2023-03-01,22094
2023-04-01,23172
2023-05-01,19881
2023-06-01,20259
2023-07-01,21239
2023-08-01,19971
2023-09-01,19929
2023-10-01,19105
2023-11-01,22033
2023-12-01,23340
2024-01-01,24251
2024-02-01,27288
2024-03-01,27926
2024-04-01,27183
2024-05-01,28836
2024-06-01,26842
2024-07-01,28311
2024-08-01,26462
2024-09-01,25899
2024-10-01,25483
2024-11-01,28616
2024-12-01,28393
2025-01-01,29829
2025-02-01,31685
2025-03-01,34175
2025-04-01,34824
2025-05-01,35060
2025-06-01,34681
2025-07-01,35999
2025-08-01,32205
2025-09-01,31677
2025-10-01,31495
2025-11-01,34060
2025-12-01,36105
